team1,team1_url,team1_logo,term
Урал,https://www.championat.com/football/_russiapl/tournament/2599/teams/99405/result/,https://img.championat.com/team/logo/14658380112046023866.png,soccer>rpl
Спартак М,https://www.championat.com/football/_russiapl/tournament/2599/teams/99403/result/,https://img.championat.com/team/logo/1469196578267020071.png,soccer>rpl
Ростов,https://www.championat.com/football/_russiapl/tournament/2599/teams/99399/result/,https://img.championat.com/team/logo/14658384351941932061.png,soccer>rpl
Енисей,https://www.championat.com/football/_russiapl/tournament/2599/teams/99387/result/,https://img.championat.com/team/logo/1469524213837900344.png,soccer>rpl
Арсенал,https://www.championat.com/football/_russiapl/tournament/2599/teams/99381/result/,https://img.championat.com/team/logo/1469196810876965292.png,soccer>rpl
Рубин,https://www.championat.com/football/_russiapl/tournament/2599/teams/99401/result/,https://img.championat.com/team/logo/14696436191917594467.png,soccer>rpl
Уфа,https://www.championat.com/football/_russiapl/tournament/2599/teams/99407/result/,https://img.championat.com/team/logo/14658379871523448246.png,soccer>rpl
Крылья Советов,https://www.championat.com/football/_russiapl/tournament/2599/teams/99393/result/,https://img.championat.com/team/logo/1465838512157254062.png,soccer>rpl
Динамо М,https://www.championat.com/football/_russiapl/tournament/2599/teams/99385/result/,https://img.championat.com/team/logo/1465838729886051809.png,soccer>rpl
Зенит,https://www.championat.com/football/_russiapl/tournament/2599/teams/99389/result/,https://img.championat.com/team/logo/14658385841081757673.png,soccer>rpl
Локомотив М,https://www.championat.com/football/_russiapl/tournament/2599/teams/99395/result/,https://img.championat.com/team/logo/14658384771344549206.png,soccer>rpl
ЦСКА,https://www.championat.com/football/_russiapl/tournament/2599/teams/99409/result/,https://img.championat.com/team/logo/1465837941322079237.png,soccer>rpl
Ахмат,https://www.championat.com/football/_russiapl/tournament/2599/teams/99383/result/,https://img.championat.com/team/logo/1501229909577937100.png,soccer>rpl
Оренбург,https://www.championat.com/football/_russiapl/tournament/2599/teams/99397/result/,https://img.championat.com/team/logo/1468673791752765441.png,soccer>rpl
Анжи,https://www.championat.com/football/_russiapl/tournament/2599/teams/102845/result/,https://img.championat.com/team/logo/14658386242066665742.png,soccer>rpl
Краснодар,https://www.championat.com/football/_russiapl/tournament/2599/teams/99391/result/,https://img.championat.com/team/logo/14676324111013772033.png,soccer>rpl
Жирона,https://www.championat.com/football/_spain/tournament/2625/teams/109421/result/,https://img.championat.com/team/logo/1504639241335445469.png,soccer>primera
Бетис,https://www.championat.com/football/_spain/tournament/2625/teams/109399/result/,https://img.championat.com/team/logo/14679047701167272027.png,soccer>primera
Сельта,https://www.championat.com/football/_spain/tournament/2625/teams/109407/result/,https://img.championat.com/team/logo/14679059851258987324.png,soccer>primera
Вильярреал,https://www.championat.com/football/_spain/tournament/2625/teams/109397/result/,https://img.championat.com/team/logo/147113139312089689.png,soccer>primera
Барселона,https://www.championat.com/football/_spain/tournament/2625/teams/109389/result/,https://img.championat.com/team/logo/14679046901516426008.png,soccer>primera
Эйбар,https://www.championat.com/football/_spain/tournament/2625/teams/109415/result/,https://img.championat.com/team/logo/1471131218216520108.png,soccer>primera
Райо Вальекано,https://www.championat.com/football/_spain/tournament/2625/teams/109419/result/,https://img.championat.com/team/logo/1440159285228230529.jpg,soccer>primera
Реал Мадрид,https://www.championat.com/football/_spain/tournament/2625/teams/109387/result/,https://img.championat.com/team/logo/146790582234803524.png,soccer>primera
Валенсия,https://www.championat.com/football/_spain/tournament/2625/teams/109385/result/,https://img.championat.com/team/logo/1552494486543352973.png,soccer>primera
Атлетик Б,https://www.championat.com/football/_spain/tournament/2625/teams/109391/result/,https://img.championat.com/team/logo/14679045581889938397.png,soccer>primera
Хетафе,https://www.championat.com/football/_spain/tournament/2625/teams/109413/result/,https://img.championat.com/team/logo/1505487413617147410.png,soccer>primera
Леганес,https://www.championat.com/football/_spain/tournament/2625/teams/109417/result/,https://img.championat.com/team/logo/1471720327453032493.png,soccer>primera
Алавес,https://www.championat.com/football/_spain/tournament/2625/teams/109411/result/,https://img.championat.com/team/logo/14711305631374557838.png,soccer>primera
Атлетико М,https://www.championat.com/football/_spain/tournament/2625/teams/109393/result/,https://img.championat.com/team/logo/14993181701810298601.png,soccer>primera
Вальядолид,https://www.championat.com/football/_spain/tournament/2625/teams/109403/result/,https://img.championat.com/team/logo/15693433181610541196.png,soccer>primera
Эспаньол,https://www.championat.com/football/_spain/tournament/2625/teams/109405/result/,https://img.championat.com/team/logo/14679063631870632708.png,soccer>primera
Севилья,https://www.championat.com/football/_spain/tournament/2625/teams/109395/result/,https://img.championat.com/team/logo/14679059422838130.png,soccer>primera
Леванте,https://www.championat.com/football/_spain/tournament/2625/teams/109409/result/,https://img.championat.com/team/logo/1552494505522360491.png,soccer>primera
Уэска,https://www.championat.com/football/_spain/tournament/2625/teams/109423/result/,https://img.championat.com/team/logo/14135750001342042160_huesca.jpg,soccer>primera
Реал Сосьедад,https://www.championat.com/football/_spain/tournament/2625/teams/109401/result/,https://img.championat.com/team/logo/14679058731623607827.png,soccer>primera
Торонто Мэйпл Лифс,https://www.championat.com/hockey/_nhl/tournament/2635/teams/102859/result/,https://www.championat.com/hockey/_nhl/tournament/2635/teams/102859/result/,hokkey>nhl
Вашингтон Кэпиталз,https://www.championat.com/hockey/_nhl/tournament/2635/teams/102857/result/,https://www.championat.com/hockey/_nhl/tournament/2635/teams/102857/result/,hokkey>nhl
Ванкувер Кэнакс,https://www.championat.com/hockey/_nhl/tournament/2635/teams/102897/result/,https://www.championat.com/hockey/_nhl/tournament/2635/teams/102897/result/,hokkey>nhl
Сан-Хосе Шаркс,https://www.championat.com/hockey/_nhl/tournament/2635/teams/102867/result/,https://www.championat.com/hockey/_nhl/tournament/2635/teams/102867/result/,hokkey>nhl
Каролина Харрикейнз,https://www.championat.com/hockey/_nhl/tournament/2635/teams/102887/result/,https://www.championat.com/hockey/_nhl/tournament/2635/teams/102887/result/,hokkey>nhl
Питтсбург Пингвинз,https://www.championat.com/hockey/_nhl/tournament/2635/teams/102865/result/,https://www.championat.com/hockey/_nhl/tournament/2635/teams/102865/result/,hokkey>nhl
